scenario,early,late,mean_pred,accuracy
ssp126,2015,2045,0.48353824,"[[1.0036636e-02 1.2923057e-07 9.9999952e-01 ... 1.0312077e-02
  1.6314481e-01 1.3907621e-05]
 [1.0036636e-02 1.2923057e-07 9.9999952e-01 ... 1.0312077e-02
  1.6314481e-01 1.3907621e-05]
 [9.8996335e-01 9.9999988e-01 4.7683716e-07 ... 9.8968792e-01
  8.3685517e-01 9.9998611e-01]
 ...
 [9.8996335e-01 9.9999988e-01 4.7683716e-07 ... 9.8968792e-01
  8.3685517e-01 9.9998611e-01]
 [1.0036636e-02 1.2923057e-07 9.9999952e-01 ... 1.0312077e-02
  1.6314481e-01 1.3907621e-05]
 [1.0036636e-02 1.2923057e-07 9.9999952e-01 ... 1.0312077e-02
  1.6314481e-01 1.3907621e-05]]"
ssp126,2015,2055,0.50002664,"[[0.0000000e+00 0.0000000e+00 1.0000000e+00 ... 9.9925977e-01
  9.9999952e-01 1.4483929e-05]
 [0.0000000e+00 0.0000000e+00 1.0000000e+00 ... 9.9925977e-01
  9.9999952e-01 1.4483929e-05]
 [1.0000000e+00 1.0000000e+00 3.6861543e-09 ... 7.4022519e-04
  4.5724528e-07 9.9998552e-01]
 ...
 [1.0000000e+00 1.0000000e+00 3.6861543e-09 ... 7.4022519e-04
  4.5724528e-07 9.9998552e-01]
 [1.0000000e+00 1.0000000e+00 3.6861543e-09 ... 7.4022519e-04
  4.5724528e-07 9.9998552e-01]
 [0.0000000e+00 0.0000000e+00 1.0000000e+00 ... 9.9925977e-01
  9.9999952e-01 1.4483929e-05]]"
ssp126,2015,2065,0.50483394,"[[1.4109971e-09 1.3789516e-11 1.3097817e-07 ... 3.5518061e-11
  3.0456706e-09 1.0000000e+00]
 [1.4109971e-09 1.3789516e-11 1.3097817e-07 ... 3.5518061e-11
  3.0456706e-09 1.0000000e+00]
 [1.4109971e-09 1.3789516e-11 1.3097817e-07 ... 3.5518061e-11
  3.0456706e-09 1.0000000e+00]
 ...
 [1.4109971e-09 1.3789516e-11 1.3097817e-07 ... 3.5518061e-11
  3.0456706e-09 1.0000000e+00]
 [1.4109971e-09 1.3789516e-11 1.3097817e-07 ... 3.5518061e-11
  3.0456706e-09 1.0000000e+00]
 [1.0000000e+00 1.0000000e+00 9.9999988e-01 ... 1.0000000e+00
  1.0000000e+00 0.0000000e+00]]"
ssp126,2015,2075,0.49998623,"[[1.5945777e-17 2.7773856e-17 1.0000000e+00 ... 6.9478697e-14
  9.9992067e-01 1.0000000e+00]
 [1.5945777e-17 2.7773856e-17 1.0000000e+00 ... 6.9478697e-14
  9.9992067e-01 1.0000000e+00]
 [1.0000000e+00 1.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  7.9333782e-05 0.0000000e+00]
 ...
 [1.5945777e-17 2.7773856e-17 1.0000000e+00 ... 6.9478697e-14
  9.9992067e-01 1.0000000e+00]
 [1.0000000e+00 1.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  7.9333782e-05 0.0000000e+00]
 [1.0000000e+00 1.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  7.9333782e-05 0.0000000e+00]]"
ssp126,2015,2085,0.48127878,"[[4.47340397e-04 5.51070916e-05 9.99902070e-01 ... 9.99886930e-01
  1.00000000e+00 1.05915755e-01]
 [4.47340397e-04 5.51070916e-05 9.99902070e-01 ... 9.99886930e-01
  1.00000000e+00 1.05915755e-01]
 [9.99552667e-01 9.99944866e-01 9.79304314e-05 ... 1.13070011e-04
  0.00000000e+00 8.94084215e-01]
 ...
 [9.99552667e-01 9.99944866e-01 9.79304314e-05 ... 1.13070011e-04
  0.00000000e+00 8.94084215e-01]
 [9.99552667e-01 9.99944866e-01 9.79304314e-05 ... 1.13070011e-04
  0.00000000e+00 8.94084215e-01]
 [4.47340397e-04 5.51070916e-05 9.99902070e-01 ... 9.99886930e-01
  1.00000000e+00 1.05915755e-01]]"
ssp126,2025,2035,0.5278972,"[[0.86517483 0.7623208  0.8252275  ... 0.16946979 0.9612979  0.9955838 ]
 [0.13482517 0.23767918 0.1747725  ... 0.8305302  0.03870207 0.00441623]
 [0.86517483 0.7623208  0.8252275  ... 0.16946979 0.9612979  0.9955838 ]
 ...
 [0.13482517 0.23767918 0.1747725  ... 0.8305302  0.03870207 0.00441623]
 [0.13482517 0.23767918 0.1747725  ... 0.8305302  0.03870207 0.00441623]
 [0.13482517 0.23767918 0.1747725  ... 0.8305302  0.03870207 0.00441623]]"
ssp126,2025,2045,0.50438803,"[[0.0000000e+00 9.9680370e-01 1.2278557e-05 ... 1.1628270e-02
  9.9999475e-01 9.8271257e-01]
 [1.0000000e+00 3.1962867e-03 9.9998772e-01 ... 9.8837173e-01
  5.2302662e-06 1.7287428e-02]
 [0.0000000e+00 9.9680370e-01 1.2278557e-05 ... 1.1628270e-02
  9.9999475e-01 9.8271257e-01]
 ...
 [0.0000000e+00 9.9680370e-01 1.2278557e-05 ... 1.1628270e-02
  9.9999475e-01 9.8271257e-01]
 [1.0000000e+00 3.1962867e-03 9.9998772e-01 ... 9.8837173e-01
  5.2302662e-06 1.7287428e-02]
 [0.0000000e+00 9.9680370e-01 1.2278557e-05 ... 1.1628270e-02
  9.9999475e-01 9.8271257e-01]]"
ssp126,2025,2055,0.4980905,"[[2.3841858e-07 1.1920929e-07 9.9971336e-01 ... 0.0000000e+00
  9.9998832e-01 0.0000000e+00]
 [2.3841858e-07 1.1920929e-07 9.9971336e-01 ... 0.0000000e+00
  9.9998832e-01 0.0000000e+00]
 [9.9999976e-01 9.9999988e-01 2.8662663e-04 ... 1.0000000e+00
  1.1711451e-05 1.0000000e+00]
 ...
 [2.3841858e-07 1.1920929e-07 9.9971336e-01 ... 0.0000000e+00
  9.9998832e-01 0.0000000e+00]
 [9.9999976e-01 9.9999988e-01 2.8662663e-04 ... 1.0000000e+00
  1.1711451e-05 1.0000000e+00]
 [2.3841858e-07 1.1920929e-07 9.9971336e-01 ... 0.0000000e+00
  9.9998832e-01 0.0000000e+00]]"
ssp126,2025,2065,0.52046204,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
ssp126,2025,2075,0.5047315,"[[0.0000000e+00 9.9954820e-01 6.3180923e-06 ... 0.0000000e+00
  9.9965918e-01 4.7683716e-07]
 [1.0000000e+00 4.5183086e-04 9.9999368e-01 ... 1.0000000e+00
  3.4081770e-04 9.9999952e-01]
 [0.0000000e+00 9.9954820e-01 6.3180923e-06 ... 0.0000000e+00
  9.9965918e-01 4.7683716e-07]
 ...
 [0.0000000e+00 9.9954820e-01 6.3180923e-06 ... 0.0000000e+00
  9.9965918e-01 4.7683716e-07]
 [1.0000000e+00 4.5183086e-04 9.9999368e-01 ... 1.0000000e+00
  3.4081770e-04 9.9999952e-01]
 [0.0000000e+00 9.9954820e-01 6.3180923e-06 ... 0.0000000e+00
  9.9965918e-01 4.7683716e-07]]"
